order	page	regionNumber	x1Region	y1Region	x2Region	y2Region	lineNumber	x1line	y1line	x2line	y2line	color_img_file_name	AT	GT2
1	14	1	119	119	898	1111	1	119	119	897	204	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	וידבר  אל משה במדבר סיני וגו' הדא היא דכתיב הדור אתם	וידבר ײ אל משה במדבר סיני וגו' הדא היא דכתיב הדור אתם
2	14	1	119	119	898	1111	2	233	165	636	228	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ראו דבר ײ המדבר הייתי לישרﭏ אם ארץ מחפ'	ראו דבר ײ המדבר הייתי לישרﭏ אם ארץ [מאפ']
3	14	1	119	119	898	1111	3	243	202	883	271	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	מאפל יה אמ' הק'ב'ה' לישרﭏ על שאמרתם למשה למה העליתנו ממצרים	מאפליה אמ' הק'ב'ה' לישרﭏ על שאמרתם למשה למה העליתנו ממצרים
4	14	1	119	119	898	1111	4	230	232	898	314	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	להביא אותנו אל המקום הרע הזה וגו' וכי במדבר הייתי לישרﭏ וכי במדבר	להביא אותנו אל המקום הרע הזה וגו' וכי במדבר הייתי לישרﭏ וכי במדבר
5	14	1	119	119	898	1111	5	234	269	890	353	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	עשיתי עמכם בנוהג שבעולם מלך בשר ודם שיצא למדבר שמא הוא מוצא	עשיתי עמכם בנוהג שבעולם מלך בשר ודם שיצא למדבר שמא הוא מוצא
6	14	1	119	119	898	1111	6	262	308	892	389	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	שם שלוה כשם שהיה בפלטין שלו או אכילה ושתייה ואתם הייתם עבדים	שם שלוה כשם שהיה בפלטין שלו או אכילה ושתייה ואתם הייתם עבדים
7	14	1	119	119	898	1111	7	228	343	885	425	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	והוצאתי אתכם משם והרבצתי אתכם בגימסטין שנ' ויסב ﭏהים את העם	והוצאתי אתכם משם והרבצתי אתכם בגימסטין שנ' ויסב ﭏהים את העם
8	14	1	119	119	898	1111	8	226	379	884	460	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	דרך המדבר ים סוף ˙ מהו ויסב שהרביצן כדרך המלכים רבוצים על מטותיהן	דרך המדבר ים סוף ˙ מהו ויסב שהרביצן כדרך המלכים רבוצים על מטותיהן
9	14	1	119	119	898	1111	9	232	414	882	496	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	ולא העמדתי לכם שלשה פדגוגין משה ואהרן ומרים שבזכות משה הייתם	ולא העמדתי לכם שלשה פדגוגין משה ואהרן ומרים שבזכות משה הייתם
10	14	1	119	119	898	1111	10	230	456	883	525	Midrach_rabba_Nombres_(hébreu)__btv1b105399567_14.png	אוכלין את המן מה שלא ראו אבות הקדושים שנא' ויאכילך את המן אשר לא	אוכלין את המן מה שלא ראו אבות הקדושים שנא' ויאכילך את המן אשר לא
